Title,Artist,Notes
1001 (Parking Inspector),The Cat Empire,Aussie
1999,Prince,
24,Switchfoot,
24K Magic,Bruno Mars,
40,U2,
9 to 5,Dolly Parton,
A Message,Coldplay,
A Whole New World,Disney (Aladdin),Duet
Adventure of a Lifetime,Coldplay,
Africa,Toto,
Ain't No Sunshine,Bill Withers,
Ain't Nobody,Chaka Khan,
Alaska,Maggie Rogers,
Albertine,Brooke Fraser,
Alexander Hamilton,Hamilton; Lin Manuel Miranda,Showtunes
All Along the Watchtower,Bob Dylan,
All I Want For Christmas Is You,Mariah Carey,Christmas
All Is Found,Disney (Frozen 2); Kacey Musgraves,
All Shook Up,Elvis Presley,
All The Small Things,Blink 182,
All You Need is Love,The Beatles,
All your Favourite Bands,Dawes,
Always,Switchfoot,
Amazing Grace,John Newton,
Ana's Song,silverchair,Aussie
Angel,Sarah McLaughlan,
Angel is a Centerfold,J. Geils Band,
Arms,The Paper Kites,Aussie
Arms Unfolding,dodie,
As,Stevie Wonder,
At the Hop,Danny and the Juniors,
Babylon,David Gray,
Back in the U.S.S.R.,The Beatles,
Back Pocket,Vulfpeck,
Bam Bam,Sister Nancy,
Banana Pancakes,Jack Johnson,
Be My Escape,Relient K,
Be Prepared,Disney (The Lion King),Duet
Beat It,Michael Jackson,
Beautiful Day,U2,
Before He Cheats,Carrie Underwood,
Best Friend,Queen,
Better Together,Jack Johnson,
Betterman,Pearl Jam,
Beyond,Leon Bridges,
Beyond the Sea,Bobby Darin,
Black Horse and A Cherry Tree,KT Tunstall,
Blackbird,The Beatles,
Blank Space,Taylor Swift,
Bloom,The Paper Kites,Aussie
Blue Suede Shoes,Elvis Presley,
Bohemian Rhapsody,Queen,
Bold As Love,Jimi Hendrix,
Boo'd Up,Ella Mai,
Boom! Shake the Room!,DJ Jazzy Jeff & the Fresh Prince,
Born and Raised,John Mayer,
Born to Run,Bruce Springsteen,
Boy in the Bubble,Paul Simon,
Brothers in Arms,Dire Straits,
Brown Eyed Lover,Allen Stone,
Burn,Hamilton; Lin Manuel Miranda,Showtunes
Burn For You,John Farnham,
Burn Your Name,Powderfinger,Aussie
Burning Love,Elvis Presley,
Cabaret,Cabaret; Liza Minelli,Showtunes
Call me Maybe,Carly Rae Jepsen,
Can You Feel the Love Tonight,Disney (The Lion King),Duet
Can't Help Falling In Love,Elvis Presley,
Can't Stop The Feeling,Justin Timberlake,
Can't Take My Eyes Off You,Frankie Valli and the Four Seasons,
Canned Heat,Jamiroquai,
Castle on the Hill,Ed Sheeran,
Cecilia,Simon & Garfunkel,
Chain of Fools,Aretha Franklin,
Champagne Supernova,Oasis,
Chandelier,Sia,
Cherry Cherry,Neil Diamond,
Chim Chimeny,Disney (Mary Poppins),
Cinnamon Girl,Prince,
Clocks,Coldplay,
Closing Time,Semisonic,
Colors of the Wind,Disney (Vanessa Williams),
Come When I Call,John Mayer Trio,
Complicated,Avril Lavigne,
Control,MuteMath,
Cornelia Street,Taylor Swift,
Crazy,Patsy Cline,
Crazy In Love,Beyoncé,
Crazy Little Thing Called Love,Queen,
"Crazy Love, VOL. II",Paul Simon,
Cream,Prince,
Crowded Table,The Highwomen,
Dancing in the Street,Martha Reeve and the Vandellas,
Dancing on the Ceiling,Lionel Richie,
Dare You To Move,Switchfoot,
Dear Theodosia,Hamilton; Lin Manuel Miranda,"Duet, Showtunes"
Deathbed,Relient K,
Deeper Water,Paul Kelly,Aussie
Diamonds on the Soles of Her Shoes,Paul Simon,
Dizzy,Vic Reeves and the Wonderstuff,
Do You Hear the People Sing,Les Misérables,Showtunes
Do You Love Me,The Contours,
Don't Be Cruel,Elvis Presley,
Don't Dream It's Over,Crowded House,
Don't Look Back In Anger,Oasis,
Don't Send Me Away,Dawes,
Don't Start Now,Dua Lipa,
Don't Stop Believing,Journey,
Don't Stop Me Now,Queen,
Don't Tell Our Friends About Me,Blake Mills,
"Don't Worry, Be Happy",Bobby McFerrin,
Don't You Want Me,Human League,
Down on the Corner,Creedence Clearwater Revival,
Dream a Little Dream of Me,Mama Cass,
Dream Lover,Bobby Darin,
Dreaming With a Broken Heart,John Mayer,
Dreams,Fleetwood Mac,
Drivers Licence,Olivia Rodrigo,
Electric Indigo,The Paper Kites,Aussie
Everybody (Backstreet's Back),Backstreet Boys,
Everybody Hurts,R.E.M.,
Everybody Needs Somebody,Blues Brothers,
Everybody Wants to Rule the World,Tears for Fears,
Everything Will Change,Derek Webb,
F*** You,CeeLo Green,
Fairytale of New York,The Pogues,
Falling Slowly,Glen Hansard and Markéta Irglová,
Fallingwater,Maggie Rogers,
Fast Car,Tracey Chapman,
Fell In Love With a Girl,White Stripes,
Finesse,Bruno Mars,
Fire,Jimi Hendrix,
Fire and Rain,James Taylor,
Firecracker,Bros. Landreth,
Firework,Katy Perry,
Fix You,Coldplay,
Flags,Brooke Fraser,
Flashing Lights,Kanye West,
Flood,Jars of Clay,
For the Ages,Paul Kelly,Aussie
For the Moments I Feel Faint,Relient K,
For Those Below,Mumford & Sons,
Forever,Ben Harper,
Frail,Jars of Clay,
Free Fallin’,Tom Petty,
Friday I'm In Love,The Cure,
From This Valley,The Civil Wars,
Frozen Heart,Disney (Frozen),
Gimme Some Lovin',Spencer Davis Group / Blues Brothers,
"Gimme Your Fire, Gimme Your Rain",The Paper Kites,Aussie
Girls Just Wanna Have Fun,Cindy Lauper,
Go Your Own Way,Fleetwood Mac,
Good 4 U,Olivia Rodrigo,
Good Love Is On The Way,John Mayer Trio,
Goodbye Earl,Dixie Chicks,
Got To Get You Into My Life,The Beatles,
Got To Give It Up,Marvin Gaye,
Gotta Serve Somebody,Bob Dylan,
Gotta Serve Somebody (Edit),Bob Dylan,
Graceland,Paul Simon,
Gravity,John Mayer Trio,
Great Balls of Fire,Jerry Lee Lewis,
Grow As We Go,Ben Platt,
Guns and Ships,Hamilton; Lin Manuel Miranda,Showtunes
Hakuna Matata,Disney (The Lion King),Duet
Hallelujah I Just Love Her So,Ray Charles,
Hand in my Pocket,Alanis Morissette,
Hands Down,Dashboard Confessional,
Happy,Pharrell,
Happy Together,The Turtles,
Harpoon,Jebediah,Aussie
Heart of Gold,Neil Young,
Hello Hurricane,Switchfoot,
Hello My Old Heart,the Oh Hellos,
Help!,The Beatles,
Helpless,Hamilton; Lin Manuel Miranda,Showtunes
Her Majesty,The Beatles,
Hero,Mariah Carey,
Hey Jude,The Beatles,
Hey Lover,Blake Mills,
Hey Ya,Outkast,
High of 75,Relient K,
Higher and Higher,Otis Redding (Jackie Wilson),
Higher Ground,Stevie Wonder,
Home Again,Michael Kawinuka,
Hooked on a Feeling,Blue Suede,
Hound Dog,Elvis Presley,
How Bizarre,OMC,
How Far I'll Go,Disney (Moana),
Human Nature,Michael Jackson,
Hymn,Brooke Fraser,
Hymn For The Weekend,Coldplay,
I Believe In A Thing Called Love,The Darkness,
I Don't Need No Doctor,John Mayer,
I Don't Trust Myself with Loving You,John Mayer,
I Dont Trust Myself With Loving You,John Mayer,
I Dreamed A Dream,Les Misérables,Showtunes
I Got a Woman,Ray Charles,
I Got You (I Feel Good),James Brown,
I Gotta Feeling,Black Eyed Peas,
I Hope That I Don't Fall in Love with You,Tom Waits,
I Just Can't Wait To Be King,DIsney (The Lion King),Duet
I Saw Her Standing There,The Beatles,
I See Fire,Ed Sheeran,
I So Hate Consequences,Relient K,
I Still Havent Found What Im Looking For,U2,
I Wanna Dance With Somebody,Whitney Houston,
I Wanna Hold Your Hand,The Beatles,
I Want It That Way,Backstreet Boys,
I Want You Back,Jackson 5,
I Want You to Want Me,Cheap Trick,
I Will Come to You,Hanson,
I Will Survive,Gloria Gaynor,
I Will Wait,Mumford & Sons,
I Would Die 4 U,Prince,
I'm Getting Ready,Michael Kiwanuka,
I'm Gonna Find Another You,John Mayer,
I'm On Fire,Bruce Springsteen,
I'm Yours,Jason Mraz,
Ice Ice Baby (Acoustic),Vanilla Ice,
Ice On Her Lashes,Brooke Fraser,
If I Ain't Got You,Alicia Keys,
If I Ain't Got You (Scary Pockets version),Scary Pockets,
If I Could Turn Back Time,Cher,
If Love Were A Plane,Brad Paisley,
If You Want To Sing Out Sing Out,Cat Stevens,
"Illusion, Coma, Pimp and Circumstance",Prince,
In The Blood,John Mayer,
Indiana,David Mead,
Instead of a Show,Jon Foreman,
Into My Arms,Nick Cave,Aussie
Into the Unknown,DIsney (Frozen 2),
Ironic,Alanis Morissette,
Irreplaceable,Beyoncé,
Is This Love?,Bob Marley,
Island In the Sun,Weezer,
Isn't She Lovely,Stevie Wonder,
Its Only Natural,Crowded House,
Jessie's Girl,Rick Springfield,
Johnny B. Goode,Chuck Berry,
Jolene,Dolly Parton,
Jump,Van Halen,
Just the Two of Us,Bill Withers,
Just The Way You Are,Bruno Mars,
Keep Fishin,Weezer,
Kids,MGMT,
Killing Me Softly,Roberta Flack,
King of Wishful Thinking,Go West,
Kingdom Come,Coldplay,
Knocking on Heaven's Door,Bob Dylan,
Kung Foo Fighting,Carl Douglass,
Landslide,Fleetwood Mac,
Layla,Eric Clapton,
Lean On Me,Al Green,
Let It All Out,Relient K,
Let It Be,The Beatles,
Let It Go,Disney (Frozen),
Let It Lie,Bros. Landreth,
Let's Get It On,Marvin Gaye,
Let's Stay Together,Al Green,
Levitating,Dua Lipa,
Life is Better With You,Michael Franti,
Life of a Salesman,Yellowcard,
Life's a Happy Song,Bret McKenzie,
Light On,Maggie Rogers,
Little Red Corvette,Prince,
Little Wing,Jimi Hendrix,
Living on a Prayer,Bon Jovi,
Look At Me Now,Emily King,
Lost In The Woods,Disney (Frozen 2),
Love Foolosophy,Jamiroquai,
Love on the Weekend,John Mayer,
Love on Top,Beyoncé,
Love Serenade,The Waifs,
Love Story,Taylor Swift,
Lovefool,The Cardigans,
Lowrider,War,
Lucy in the Sky With Diamonds,The Beatles,
Mack the Knife,Bobby Darin,
Made Up Mind,Bros. Landreth,
Magic,Coldplay,
Make A Mistake,Brad Paisley,
Mamma Mia,Abba,Duet
Man in the Mirror,Michael Jackson,
Me and Julio Down by the Schoolyard,Paul Simon,
Me Neither,Brad Paisley,
Meant To Live,Switchfoot,
Meet Me in the Middle of the Air,Paul Kelly,Aussie
Mercy,Duffy,
Miss You Love,silverchair,Aussie
MMMBop,Hanson,
Mother Nature's Son,The Beatles,
Moves Like Jagger,Maroon 5,
Mr Brightside,The Killers,
Much Afraid,Jars of Clay,
Multiplied,NEEDTOBREATHE,
My Happiness,Powderfinger,Aussie
Nashville,David Mead,
Never On The Day You Leave,John Mayer,
No Good Reason,Dawes,
No Such Thing,John Mayer,
Nothing Compares 2 U,Prince,
Nothing More Than That,The Paper Kites,Aussie
Nothingman,Pearl Jam,
Nowhere Man,The Beatles,
Nowhere to Run,Martha and the Vandellas,
Ocean Avenue,Yellowcard,
Odds,MuteMath,
Oh What A Night,Frankie Valli and the Four Seasons,
Old Time Rock'n'Roll,Bob Seger,
On My Own,Les Misérables,Showtunes
One Four Five,The Cat Empire,Aussie
One Headlight,The Wallflowers,
Only One,Yellowcard,
Only Us,Dear Evan Hansen,"Duet, Showtunes"
Orphans Kingdoms,Brooke Fraser,
Our Love,Bros. Landreth,
Paint,The Paper Kites,Aussie
Paradise,Coldplay,
Part of Your World,Disney (The Little Mermaid),
Perfect Day,Lou Reed,
Piano Man,Billy Joel,
Pirates Who Don't Do Anything,Relient K,
"Play That Funky Music, White Boy",Wild Cherry,
Pour Some Sugar On Me,Def Leppard,
Pretty Brown Eyes,Mint Condition,
Pride In The Name Of Love,U2,
Pumped Up Kicks,Foster The People,
Purple Rain,Prince,
Queen of California,John Mayer,
Raspberry Beret,Prince,
Rearviewmirror,Pearl Jam,
Red Eyes,Switchfoot,
Redemption Song,Bob Marley,
Remember The Time,Michael Jackson,
Respect,Aretha Franklin,
Revelator Eyes,The Paper Kites,Aussie
Revolution,The Beatles,
Revolution No.1,The Beatles,
Rewrite the Stars,The Greatest Showman,"Duet, Showtunes"
Ride,Twenty One Pilots,
Right On Time,Dawes,
Ring of Fire,Johnny Cash,
River,Leon Bridges,
Rock and Roll,Led Zeppelin,
Rock and Roll Music,The Beatles (Chuck Berry),
Rock Around the Clock,Bill Haley and the Comets,
Rock This Town,The Stray Cats; Brian Setzer,
Rock With You,Michael Jackson,
Rocket Man,Elton John,
Rocky Raccoon,The Beatles,
Roll It On Home,John Mayer,
Romeo + Juliet,Dire Straits,
Rosanna,Toto,
Rosie,John Mayer,
Sadie Hawkins Dance,Relient K,
Say,John Mayer,
Say a Little Prayer,Aretha Franklin,
Seasons of Love,Rent,Showtunes
Seven Nation Army,The White Stripes,
Shake a Tailfeather,Ray Charles,
Shake It Off,Taylor Swift,
Shallow,Lady Gaga,
Share the Well,Caedmon's Call,
She,Ben Abraham + John Flanagan,Aussie
She's Always a Woman to Me,Billy Joel,
She's Got a Way,Billy Joel,
She's the One,Bruce Springsteen,
Shelter Me,The Waifs,Aussie
Shiny,Disney (Moana),
Shiver,Coldplay,
Shotgun,George Ezra,
Shout,The Isley Brothers,
Show Yourself,Disney (Frozen 2),
Shower the People,James Taylor; Justin Timberlake,
Shut Up and Dance,Walk The Moon,
Side to Side,The Cat Empire,Aussie
Sigh No More,Mumford & Sons,
"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,
Simply the Best,Tina Turner; Noah Reid,
Since U Been Gone,Kelly Clarkson,
Sittin' on the Dock of Bay,Otis Redding,
Sittin' Up In My Room,Brandy,
Sky Full of Stars,Coldplay,
Slow Dancing In a Burning Room,John Mayer,
Smells Like Teen Spirit,Nirvana,
So Into You,Tamia,
Somebody to Love,Queen,
Someone New,Paul Kelly,Aussie
Something Happened on the Way To Heaven,Phil Collins,
Something Like Olivia,John Mayer,
Somewhere Over the Rainbow & Wonderful World,Israel Kamakawiwo'ole,
Sound of Silence,Paul Simon,
Space They Cannot Touch,Kate Miller Heidke,Aussie
Spaceman,The Killers,
Sparks Fly,Taylor Swift,
Spoonful of Sugar,Disney (Mary Poppins),
Stacy's Mom,Fountains of Wayne,
Stand By Me,Ben E. King,
Steal My Kisses,Ben Harper,
Still Feel Like Your Man,John Mayer,
Stop This Train,John Mayer,
Stop! The Love You Save,Jackson 5,
Straight Lines,silverchair,Aussie
Strawberry Fields Forever,The Beatles,
Strawberry Wine,Deana Carter,
Stuck In the Middle with You,Stealers Wheel,
Sultans of Swing,Dire Straits,
Summer Breeze,Seals and Crofts,
Summertime Blues,Eddie Cochrane,
Sunscreen,Ira Wolf,
Sunshine On My Shoulders,John Denver,
Supercalifragilisticexpialidocious,Disney (Mary Poppins),
Sweet Caroline,Neil Diamond,
Sweet Creature,Harry Styles,
Table for Two,Caedmon's Call,
Take me to the River,Al Green,
Teenage Dirtbag,Wheatus,
"Thank U, Next",Ariana Grande,
The Boy in the Bubble,Paul Simon,
The Cave,Mumford & Sons,
The Ghost of Tom Joad,Bruce Springsteen,
The Lion Sleeps Tonight,Harry Belafonte,
The Most Beautiful Girl in the World,Prince,
The Next Right Thing,Disney (Frozen 2),
The One I'm Waiting For,Relient K,
The Scientist,Coldplay,
The Sound of Silence,Simon & Garfunkel,
The Story,Brandi Carlisle,
"The Times, They Are A-Changin",Bob Dylan,
The Way You Make Me Feel,Michael Jackson,
The Wire,HAIM,
These Days,Powderfinger,Aussie
Things Happen,Dawes,
Thinking Out Loud,Ed Sheeran,
This is Me,The Greatest Showman,"Group, Showtunes"
This Is On Me,Ben Abraham,Aussie
This Land Is Your Land,Woody Guthrie,
This Little Light of Mine,Harry Dixon Loes,
This Too Shall Be Made Right,Derek Webb,
Three Little Birds,Bob Marley,
Thriller,Michael Jackson,
Time of My Life (from Dirty Dancing),Bill Medley and Jennifer Warnes ,Duet
Time Served,Joey Landreth,
Tiny Dancer,Elton John,
To Her Door,Paul Kelly,Aussie
Together,Tom Tuena,Aussie
Tomorrow,silverchair,Aussie
"Tonight, You Belong to Me",Steve Martin,
Too Late,The Paper Kites,Aussie
Total Eclipse of the Heart,Bonnie Tyler,
Toxic,Britney Spears,
Treat her Right,George Thorougood,
Truth Hurts,Lizzo,
Try A Little Tenderness,Otis Redding,
Twenty-Four,Switchfoot,
Twist and Shout,The Beatles (Medley / Russell),
Two of Us,The Beatles,
Two Princes,Spin Doctors,
Unaware,Allen Stone,
Under Pressure,Queen; David Bowie,Duet
Under the Sea,Disney (The Little Mermaid); Alan Menken,
Up on the Roof,Justin Timberlake; The Drifters,
Uptown Funk,Mark Ronson / Bruno Mars,
Use Somebody,Kings of Leon,
Valerie,Amy Winehouse,
Video Killed The Radio Star,Buggles,
Wagon Wheel,Darius Rucker,
Wait For It,Hamilton; Lin Manuel Miranda,Showtunes
Waiting on the World to Change,John Mayer,
Wake Me Up Before You Go-Go,Wham!,
Walk Like an Egyptian,The Bangles,
Walkin' After Midnight,Patsy Cline,
Walking on Sunshine,Katrina and the Waves,
Walt Grace's Submarine Test,John Mayer,
Wanna Be Your Lover,Prince,
Wannabe,Spice Girls,
Want You Back,HAIM,
War Is Over (Happy Christmas),John Lennon & Yoko Ono,
Watch Over Me,Bernard Fanning,Aussie
Watermelon Sugar,Harry Styles,
Waving Through A Window,Dear Evan Hansen,Showtunes
We Are Never Ever Getting Back Together,Taylor Swift,
We Are the Champions,Queen,
Wedding Dress,Derek Webb,
What Makes You Beautiful,One Direction,
What the World Needs Now,Burt Bacharach,
What's Going On,Marvin Gaye,
When I Come Around,Green Day,
Where The Streets Have No Name,U2,
Where You're At,Allen Stone,
Whiskey Lullaby,Brad Paisley,
White Man's World,Jason Isbell,
Who Are We Fooling?,Brooke Fraser,
Wild World,Cat Stevens,
Wildfire,John Mayer,
Wintersong,Blake Mills,
With a Little Help From My Friends,The Beatles,
With or Without You,U2,
With Or Without You,U2,
"With You, Without you",Brad Paisley,
Wonderwall,Oasis,
XO,Beyoncé (John Mayer),
Yesterday,The Beatles,
You Are Mine,MuteMath,
You Are My Sunshine,Johnny Cash,
You Belong With Me,Taylor Swift,
You Can Close Your Eyes,James Taylor,
You Can Leave Your Hat On,Joe Cocker,
You Can Never Hold Back Spring,Tom Waits,
You Can't Hurry Love,The Supremes,
You Gotta Be,Des'ree,
You Keep Me Hanging On,Vanilla Fudge; The Supremes,
You Learn,Alanis Morissette,
You Make My Dreams,Hall & Oates,
You Were On My Mind,Lucius,
You'll Be Back,Hamilton; Lin Manuel Miranda,Showtunes
You're The One That I Want,Grease,Showtunes
You're Welcome,Disney (Moana),
You've Got To Hide Your Love Away,The Beatles,
Your Cheatin’ Heart,Hank Williams,
The Heartburn Song (It's Gonna Be Alright),Lawrence,
Make a Move,Lawrence,
It's Not All About You,Lawrence,
Don't Lose Sight,Lawrence,
The Weather,Lawrence,
Devil Went Down to Georgia,Charlie Daniels Band,
Redneck Woman,Gretchen Wilson,
Dancing in the Dark,Bruce Springsteen,
Monkey Wrench,Foo Fighters,
The Pretender,Foo Fighters,
Times Like These,Foo Fighters,
Everlong,Foo Fighters,
Just A Girl,No Doubt,
Don't Speak,No Doubt,
The Set Up (You Need This),Reel Big Fish,
Sell Out,Reel Big Fish,
Beer,Reel Big Fish,
Reelin' in the Years,Steely Dan,
Ants Marching,Dave Matthews Band,
Crash Into Me,Dave Matthews Band,
Dancing Queen,Abba,
Fireflies,Owl City,
Alive,Pearl Jam,
Dancing on My Own,Robyn,
If We Were Vampires,Jason Isbell,
Satisfied,Hamilton; Lin Manuel Miranda,
Again,Lenny Kravitz,
Alabama Pines,Jason Isbell,
American Idiot,Green Day,
Are You Gonna Go My Way,Lenny Kravitz,
Basket Case,Green Day,
Cover Me Up,Jason Isbell,
Creep,Radiohead,
Good Riddance (Time of Your Life),Green Day,
Heartache Tonight,Eagles,
Hotel California,Eagles,
Iris,Goo Goo Dolls,
Love Song,Sara Bareilles,
Shimmer,Fuel,